reg_number,family,subfamily,tribus,genus,subgenus,species,subspecies,sex ,identifier,id_date,remarks
1275461,Nymphalidae,Danainae,Danaini,Ideopsis,,vulgaris,,,"Moonen, J.J.M.",2016/04/03,uncertain
1275462,Nymphalidae,Danainae,Danaini,Euploea,,rhadamanthus (= diocletianus),,,"Moonen, J.J.M.",2016/05/03,
1275463,Nymphalidae,Danainae,Danaini,Euploea,,mulciber,,M,"Moonen, J.J.M.",2016/05/03,
1275464,Nymphalidae,Danainae,Danaini,Parantica,,aspasia,,,"Moonen, J.J.M.",2016/05/03,
1275465,Nymphalidae,Danainae,Danaini,Parantica,,aspasia,,,"Moonen, J.J.M.",2016/05/03,
1275466,Nymphalidae,Danainae,Danaini,Euploea,,mulciber,,F,"Moonen, J.J.M.",2016/05/03,
1275467,Nymphalidae,Danainae,Danaini,Euploea,,mulciber,,F,"Moonen, J.J.M.",2016/05/03,
1275468,Nymphalidae,Danainae,Danaini,Euploea,,rhadamanthus (= diocletianus),,,"Moonen, J.J.M.",2016/05/03,
1275469,Nymphalidae,Danainae,Danaini,Euploea,,mulciber,,F,"Moonen, J.J.M.",2016/05/03,
1275470,Nymphalidae,Danainae,Danaini,Euploea,,mulciber,,F,"Moonen, J.J.M.",2016/05/03,
1275471,Nymphalidae,Danainae,Danaini,Euploea,,mulciber,,F,"Moonen, J.J.M.",2016/05/03,
1275472,Nymphalidae,Danainae,Danaini,Idea,,lyncea,,,"Moonen, J.J.M.",2016/05/03,stolli?
1275473,Nymphalidae,Danainae,Danaini,Euploea,,mulciber,,M,"Moonen, J.J.M.",2016/07/03,
1275474,Nymphalidae,Danainae,Danaini,Ideopsis,,vulgaris,,,"Moonen, J.J.M.",2016/07/03,
1275475,Nymphalidae,Danainae,Danaini,Parantica,,aspasia,,,"Moonen, J.J.M.",2016/07/03,
1275476,Nymphalidae,,,,,,,,"Moonen, J.J.M.",2016/07/03,
1275477,Nymphalidae,Danainae,Danaini,Euploea,,mulciber,,M,"Moonen, J.J.M.",2016/07/03,
1275478,Nymphalidae,Danainae,Danaini,Danaus,,genutia,,,"Moonen, J.J.M.",2016/07/03,
1275479,Nymphalidae,Danainae,Danaini,Parantica,,aspasia,,,"Moonen, J.J.M.",2016/07/03,
1275480,Nymphalidae,Danainae,Danaini,Danaus,,genutia,,,"Moonen, J.J.M.",2016/07/03,
1275481,Nymphalidae,Danainae,Danaini,Euploea,,mulciber,,F,"Moonen, J.J.M.",2016/07/03,
1275482,Nymphalidae,Danainae,Danaini,Danaus,,genutia,,,"Moonen, J.J.M.",2016/07/03,
1275483,Nymphalidae,Danainae,Danaini,Parantica,,aspasia,,,"Moonen, J.J.M.",2016/07/03,
1275484,Nymphalidae,Danainae,Danaini,Idea,,lyncea,,,"Moonen, J.J.M.",2016/07/03,stolli?
1275485,,,,,,,,,"Moonen, J.J.M.",2016/07/03,EMPTY
1275486,Nymphalidae,Danainae,Danaini,Parantica,,melaneus,,,"Moonen, J.J.M.",2016/07/03,
1275487,Nymphalidae,Danainae,Danaini,Euploea,,,,,"Moonen, J.J.M.",2016/07/03,
1275488,Nymphalidae,Danainae,Danaini,Parantica,,melaneus,,,"Moonen, J.J.M.",2016/07/03,
1275489,Nymphalidae,Danainae,Danaini,Parantica,,melaneus,,,"Moonen, J.J.M.",2016/07/03,
1275490,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,demolion,demolion,M,"Moonen, J.J.M.",2016/07/03,
1275491,Papilionidae,Papilioninae,Troidini,Troides,Troides,helena,helena,M,"Moonen, J.J.M.",2016/07/03,
1275492,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,peranthus,peranthus,M,"Moonen, J.J.M.",2016/07/03,
1275493,Nymphalidae,Danainae,Danaini,Euploea,,mulciber,,M,"Moonen, J.J.M.",2016/07/03,
1275494,Nymphalidae,Danainae,Danaini,Euploea,,rhadamanthus (= diocletianus),, ,"Moonen, J.J.M.",2016/07/03,
1275495,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,peranthus,peranthus,M,"Moonen, J.J.M.",2016/07/03,
1275496,,,,,,,, ,"Moonen, J.J.M.",2016/07/03,EMPTY
1275497,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,peranthus,peranthus,M,"Moonen, J.J.M.",2016/07/03,
1275498,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,peranthus,peranthus,M,"Moonen, J.J.M.",2016/07/03,
1275499,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/07/03,
1275500,Nymphalidae,Danainae,Danaini,Euploea,,rhadamanthus (= diocletianus),, ,"Moonen, J.J.M.",2016/07/03,
1275501,Nymphalidae,Danainae,Danaini,Parantica,,aspasia,, ,"Moonen, J.J.M.",2016/07/03,
1275502,Papilionidae,Papilioninae,Papilionini,Papilio,Menelaides,helenus ,enganius,M,"Moonen, J.J.M.",2016/07/03,
1275503,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,karna,karna,M,"Moonen, J.J.M.",2016/07/03,
1275504,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,paris,gedeensis,M,"Moonen, J.J.M.",2016/07/03,
1275505,Papilionidae,Papilioninae,Papilionini,Papilio,Achillides,peranthus,peranthus,M,"Moonen, J.J.M.",2016/07/03,
1275506,Nymphalidae,Danainae,Danaini,Euploea,,,, ,"Moonen, J.J.M.",2016/07/03,
1275507,Nymphalidae,Danainae,Danaini,Parantica,,aspasia,, ,"Moonen, J.J.M.",2016/07/03,
